Title,Artist,Album,Genre,Release Date,Duration,Popularity
Tree four.,Nicholas Larson,Identify.,Hip-Hop,2012-07-24,168,40
Political perhaps him.,Alicia Wright,Project.,Country,2011-09-05,245,79
Choice daughter.,David Bautista,Various.,Pop,2003-10-28,185,90
Few form public.,Brian Romero,Beautiful.,Jazz,2016-11-01,180,70
Leader police important.,Lucas Williams,Poor also.,Classical,2005-12-01,146,26
Computer receive.,Jeffrey Espinoza,Against.,Blues,2011-09-26,207,18
Year culture.,Paul Hernandez,Forward amount.,Pop,2008-04-02,189,75
Require society son.,Kristen Johnson,Themselves.,Reggae,2012-10-31,163,9
Position protect picture.,Jessica Johnson,Performance.,Jazz,2005-03-09,147,6
Leader represent example.,Sheri George,Action.,R&B,2007-10-01,289,84
War ahead.,Veronica Mcclain,Always center.,R&B,2015-09-20,143,15
Win movement ever.,Alexander Parker,Join bed.,Hip-Hop,2004-07-11,241,28
Though sound.,James Thompson,Couple detail.,Rock,2000-05-27,181,30
Behavior summer different.,Phillip Sanchez,Make take.,Hip-Hop,2004-06-06,278,80
Event think eye.,Matthew Jones,Police.,Reggae,2016-05-02,155,32
Enjoy employee.,Mary Nguyen,Which receive.,Electronic,2015-10-10,134,58
Catch another mind.,Charles Anderson,Over set.,Country,2013-11-01,293,41
Sound rich best.,Laura Ray,Imagine.,Pop,2016-01-02,216,35
Carry agreement.,Emily Hernandez,Item.,Jazz,2005-12-31,280,13
Pull decide new.,Guy Suarez,Suggest.,Electronic,2003-06-04,204,83
Item result.,Pamela Lopez,Tell.,Reggae,2005-05-14,189,9
Build structure.,Joseph Lawrence,Light four.,R&B,2009-09-18,209,97
Machine agency free.,Craig Fuller,Population say.,Electronic,2000-10-13,159,68
Design process.,Laura Adams,Stock.,Pop,2015-11-03,222,100
Write what.,Matthew Dawson,She million.,Blues,2003-08-06,240,55
Short beyond.,John Beck,North green.,Country,2000-11-20,159,99
Sign middle.,Joshua Wright,Law develop.,Jazz,2015-08-30,129,29
Follow no husband.,Zachary Smith,Especially.,Country,2016-12-18,219,15
Analysis book building.,Sandra Delacruz,One.,Jazz,2004-04-02,171,72
Former often.,Dean Johnson,A.,Jazz,2009-12-28,299,82
Role cultural leave.,Laura Hernandez,Eye mean.,Electronic,2018-05-19,142,50
Figure front.,Nicholas Graves,Product away.,Electronic,2005-12-16,223,70
Help others.,Nathan Rodriguez,Reveal.,R&B,2017-01-26,286,59
Throughout coach.,Donna Benson,Animal position.,R&B,2020-11-12,257,6
Structure fact southern heart.,Joshua Watkins,South.,Classical,2015-02-18,124,82
Issue list lot.,Bryan Pace,Provide.,R&B,2017-09-03,143,13
Case might.,Robert Baldwin,Side.,Classical,2007-05-31,167,95
Learn test coach.,Angela Morris,Guess.,Pop,2005-06-18,179,15
Increase conference us side.,Derek Miller,Group.,Reggae,2009-04-12,158,89
Why country image.,Aaron Morrison,She across.,Rock,2004-10-28,196,77
Any common player.,Penny Lee,Language prepare.,Electronic,2009-07-07,250,38
Detail trip perform.,Erik Green,Bar.,Electronic,2004-09-02,265,29
Democrat skin five.,Amy Cox,Focus.,Pop,2009-12-19,249,31
Candidate million.,Jeffrey Ramirez,Reveal control.,R&B,2003-07-06,281,41
Direction color purpose.,Jesse Lynch,Rest.,Country,2017-09-25,217,83
Fast discussion.,Pamela Horn,Once cup.,R&B,2006-12-19,216,22
Others available.,Crystal Dean,Guy collection.,R&B,2005-02-19,169,5
Last main wonder.,Ryan Crawford,Race.,Hip-Hop,2002-11-12,124,36
Quite case.,Cindy Gomez,Front run.,Rock,2015-09-18,296,20
All everything.,Meagan Friedman,Late product.,Reggae,2017-09-27,281,30
Indicate traditional.,Dustin Mora,Soldier.,Blues,2004-09-16,208,70
Employee easy.,Karen White,Theory artist.,Electronic,2009-04-18,166,72
Three structure industry.,Carol Cisneros,Party dark.,Jazz,2015-10-10,300,53
President.,Arthur Woodard,Under join.,Jazz,2002-01-31,219,80
Toward energy.,Andrew Martin,Someone be.,Jazz,2001-12-10,144,62
Remember activity.,Jessica Torres MD,Summer.,Electronic,2011-07-19,298,71
Full among exist.,Micheal Lewis,Most.,R&B,2008-04-25,189,22
Among protect car.,Jason Perry,Employee.,Classical,2002-08-31,165,15
During carry pattern.,Stephanie Mills,Tax.,Rock,2011-01-16,262,4
Future safe authority.,Terry Zimmerman,Organization.,Classical,2011-10-25,293,20
Key guess apply.,Michael Francis,Example.,R&B,2012-05-16,155,53
Hair never.,Angel Saunders,Box.,Electronic,2001-02-08,129,50
Hand cut.,Richard Goodman,Explain.,Rock,2002-07-24,198,63
Key century sport.,Richard Vazquez,Really strong.,Jazz,2003-12-10,300,98
Face you.,Geoffrey Donaldson,So.,Rock,2015-03-12,286,29
Somebody board answer think.,Kimberly Bright,Listen first.,Blues,2014-07-05,210,46
Answer look create also.,Diane Fitzgerald,Television.,Pop,2004-01-31,163,100
Which under.,Kurt Green,Night than.,Blues,2009-11-01,266,30
After us.,Ronald Washington DDS,Wife.,R&B,2009-02-01,261,82
May scene industry.,Karen Barry,Above instead.,Country,2002-08-18,186,64
Attorney song father.,Karen Lee,Realize what.,Rock,2003-02-05,187,42
Gun occur management.,Joseph Johnston,Pay.,Country,2013-09-19,248,5
Fear site per.,Joshua Garcia,Identify avoid.,Jazz,2011-04-01,186,84
Factor create.,Austin Stewart,Between huge.,Jazz,2010-07-16,213,98
Number if.,John Davis,Sport.,Reggae,2020-10-01,273,41
Age parent sometimes.,Michael Willis,Can Congress.,Rock,2013-12-24,155,5
Least hair difficult.,Bobby Sanders,Always PM.,Blues,2010-12-27,284,26
Another idea space dinner.,Katherine Miller,Congress movie.,Reggae,2006-12-11,153,38
Decision thousand accept.,Samantha Gould,Require.,Reggae,2011-09-07,292,46
Laugh impact.,Austin Lewis,Through process.,Blues,2004-02-11,232,86
Half couple across.,Carmen Hall,Doctor old.,Electronic,2007-05-17,224,43
Mrs nor.,Austin Smith,Hour when.,Reggae,2015-05-06,280,74
Sell food occur.,William Campos,They play.,Classical,2014-10-02,159,75
Particular treat under.,Gail Evans,Participant.,Hip-Hop,2001-02-18,203,50
Society customer.,Joshua Rowland,Note find.,Country,2020-06-17,190,79
Sort it individual.,Christopher Roman,Score American.,Country,2008-11-01,249,64
Discussion.,Amy Lucas,Bank.,Electronic,2012-09-24,218,16
Few.,Kyle Solomon,Born home.,Blues,2011-03-13,243,50
Draw family friend.,Mr. James Schroeder,Base child.,Hip-Hop,2020-06-09,148,15
Board man down.,Ellen Armstrong,Rock.,Electronic,2019-02-19,252,22
Blue buy glass.,April Burnett,Notice data.,Hip-Hop,2015-04-13,256,35
Oil middle from.,Antonio Cantu,Technology since.,R&B,2018-07-13,156,85
Threat six.,Dawn Perry,Defense.,Classical,2019-03-01,248,91
National beyond.,Amber Lopez,Many.,Rock,2007-07-30,196,44
Produce democratic themselves.,Lisa Sullivan,Bag.,Country,2006-07-02,224,29
High well.,Jacob Turner,Bag.,Jazz,2015-07-15,121,24
President rock lawyer.,Jasmine Smith,Decade.,R&B,2013-08-09,164,5
Director magazine certainly.,Yvonne Jones,Amount.,R&B,2017-04-22,231,24
Language example.,Rebecca Gonzalez,Few bank.,Jazz,2005-10-17,267,61
Fund hit apply citizen.,Laura Powell,Address.,Country,2013-10-05,196,49
Data begin.,Benjamin Walker,Teacher.,Jazz,2017-07-27,155,29
Power record risk.,Joshua Howard,Sometimes thousand.,Classical,2018-07-27,266,90
Down edge especially let.,Matthew Park,Goal share.,Jazz,2008-10-08,164,60
Next need.,Brian Rose,Try as.,Pop,2003-02-15,260,6
Money player prove.,Joy Kaiser,Medical.,Reggae,2014-10-28,206,40
Bag kid price.,Robert Russell,Act.,Reggae,2009-12-13,199,56
Whatever Republican factor.,Zachary Patel,Spring.,Pop,2017-06-19,272,50
Arm form movie.,Joseph Caldwell,Machine rate.,Rock,2016-05-30,138,77
Baby side.,Charles Douglas,Officer natural.,Blues,2009-06-19,288,84
Enter national.,Jeffrey Huang,Most fight.,Classical,2005-09-24,211,22
Significant already.,David Barron,As.,Blues,2018-08-20,153,0
Number form letter.,Tracy May,Heavy nation.,Country,2006-06-29,121,81
Soon write seek.,Monica Anderson,Reach.,R&B,2000-02-27,205,61
Final television.,Kendra Salinas,Leave.,Pop,2014-06-03,277,30
Particular blood.,Kathryn Smith,Either use.,Classical,2005-04-03,289,72
Main once candidate.,Gregory Brown,Crime.,Country,2005-05-29,126,17
Red collection.,Tara Thomas,Tend.,Hip-Hop,2017-11-10,213,14
Since.,John Lopez,Add process.,Rock,2020-03-18,160,77
Glass option occur.,Jonathan Davis,But base.,R&B,2006-05-06,268,91
Me bank.,Amanda Harris,Start.,Classical,2018-03-07,241,89
Left.,Herbert Lambert,Teach student.,Jazz,2005-06-05,225,53
Determine.,Emma Taylor,Red.,R&B,2001-06-23,146,32
Treat account.,Anthony Winters,Across.,Jazz,2007-07-11,143,47
Player drug I.,Sheri Oliver,Technology.,Blues,2004-08-28,132,13
Allow.,Mark Fitzgerald,Than.,Jazz,2011-03-25,189,40
Card describe.,Michelle Mendoza,Anyone.,Pop,2019-12-05,295,88
Above prepare thus.,Michael Morrison,Wonder street.,R&B,2006-04-25,183,23
Boy girl receive public.,Jessica Brown,Star imagine.,Pop,2002-11-22,280,52
Least firm.,Erik Farmer,Ability.,Hip-Hop,2010-02-10,219,84
Sort animal.,Robert Wells,Paper wonder.,Reggae,2016-09-04,249,59
Professor.,Mark Wise,Perform including.,Electronic,2012-05-28,267,100
Either window whether.,Rebecca Cordova,Design far.,Rock,2002-04-09,154,45
Second gun might father.,Stephanie Butler,Value.,Jazz,2011-12-20,154,94
Stop specific.,Jamie Roberson,Discuss lay.,Pop,2019-07-14,294,46
Continue never.,Emily Dixon,Garden.,Electronic,2007-03-22,221,61
Whole ask.,Michelle Sweeney,Community campaign.,Blues,2000-12-16,181,56
Professional late.,Devin Roberts,Enjoy training.,Reggae,2004-06-18,178,9
But give.,Richard Ibarra,Difficult.,Jazz,2018-01-30,244,25
When under together.,Cheryl Anderson,On you.,Blues,2003-08-17,250,48
Debate race this.,Manuel Morris,Thank why.,Pop,2002-07-24,253,12
Class anyone instead exactly.,Barbara Santiago,Term my.,Pop,2018-10-16,186,15
Recently last.,Thomas Shepard,Mean plant.,Pop,2003-12-22,153,20
Nation be.,Tammie Johnson,Memory.,Hip-Hop,2015-06-17,231,40
Town outside fly.,Timothy Barr,Physical.,Country,2013-08-25,149,50
Modern discuss.,Erika Rogers,East.,Country,2018-09-02,294,13
Method organization.,Vickie Long,Person.,Jazz,2001-08-11,129,83
Ever you.,Joseph Proctor,Person.,Rock,2008-12-24,146,82
Place window.,Peter Huber,Include low.,Blues,2012-09-17,297,90
Exist exist.,Dennis Moore,Remember.,Hip-Hop,2005-08-26,250,80
Carry real.,Joseph Yang,Agent.,Classical,2007-03-02,231,56
Action marriage.,Shannon Fitzgerald,Account.,Reggae,2007-01-03,136,98
Soon billion south.,Mike Collins,Wish ago.,Rock,2019-04-25,262,77
Wide general anything.,Anthony Snyder,Forget home.,Hip-Hop,2014-07-21,230,4
Music different start.,Leslie Chavez,Along stuff.,Electronic,2019-08-26,175,8
Science Congress open.,Pamela Anderson,Stock.,Classical,2006-07-13,269,8
Stuff important.,Wendy Morris,Even too.,Reggae,2012-04-20,161,44
Head good push.,Nicholas Wong,Player country.,Jazz,2005-07-16,209,85
Wonder cup public.,Anthony Gordon,Service.,Reggae,2017-05-22,154,60
Plan.,Stephen Vargas,Attention security.,Hip-Hop,2012-12-16,243,77
Born civil research.,Tracy Moore,Need strategy.,Hip-Hop,2018-01-17,197,69
Board trial employee itself.,Brian Wells,Eight.,Pop,2000-10-28,240,26
Rest summer.,Troy Davidson,Can.,Classical,2003-02-17,245,36
Later forward.,Sharon Davis,Week ball.,Electronic,2005-04-18,263,85
Political reveal my.,Scott Sparks,Main.,R&B,2001-08-28,122,9
Another watch.,Laura Houston,Lead trade.,Blues,2009-04-30,199,33
Should finish traditional.,Allison Cox,Buy ask.,Country,2005-01-28,246,7
Half door.,Michael Gamble,Shoulder late.,Pop,2004-04-24,124,70
Successful keep.,Justin Williams,Quite.,Classical,2009-02-25,140,79
Alone at late house.,Jessica Vasquez,Various.,Classical,2006-05-08,172,74
Let well recently.,Nicole Dominguez,Safe.,Pop,2014-12-30,240,89
Beat represent glass themselves.,Kevin Singh,Back.,Reggae,2009-01-10,263,13
Up ground area.,Ricardo Silva,Every.,Hip-Hop,2020-12-06,189,15
Close difference recognize blood.,Jesse Williams,Cup.,Country,2002-09-16,239,86
Ground position.,Tina Logan,Local size.,Hip-Hop,2007-06-15,176,82
Thank page.,Warren Smith,State gun.,Jazz,2008-04-06,276,95
Ago station else.,Matthew Ross,Kitchen rest.,Hip-Hop,2000-06-17,195,13
Moment almost rock.,Susan Thomas,Big piece.,R&B,2019-12-16,191,85
Democratic once will.,William Harris,Respond best.,Rock,2000-07-17,162,7
Appear short.,Monique Richards,Mention action.,Hip-Hop,2005-07-21,203,83
Cold international.,Jennifer Ibarra,Wide.,Country,2000-03-05,240,27
Grow.,Nicholas Baker,Animal member.,R&B,2017-08-31,172,43
Feel husband public.,Brian Crane,Couple.,Hip-Hop,2003-02-13,135,81
Same focus his.,Stephen Miller,Sure.,Country,2001-04-15,240,0
Every officer.,Nathaniel Lewis,Discover.,Reggae,2010-03-24,143,63
Every drive inside.,Melissa Walker,Industry theory.,Classical,2014-08-01,220,7
Some whether force.,Ashlee Hull,Case over.,Country,2020-10-14,159,65
History six.,Jaime Adams,Magazine Mrs.,Pop,2008-05-13,300,89
Serve door talk.,Roberta Young,Sound.,Blues,2017-03-20,213,48
Way with southern.,Ronald Bryant DDS,Particularly.,Jazz,2011-07-15,182,35
Learn author.,Tommy Bryant,Spring.,Hip-Hop,2015-09-05,244,50
Community huge receive.,Kayla Sawyer,Partner available.,Hip-Hop,2005-06-30,133,80
His.,Edward West,Life.,Electronic,2013-06-01,265,48
One throw ground.,Andrew Long,Turn write.,R&B,2001-05-07,164,30
Account home lot another.,Devin Carter,Forget.,Country,2002-05-10,223,47
Reach stand.,Christopher Young,Air.,Reggae,2008-09-19,298,64
News than wrong.,Kayla Adams,Notice represent.,Hip-Hop,2015-06-17,216,88
Range real.,Elizabeth Henderson,Finally.,Electronic,2002-08-04,180,8
Somebody eight staff.,Taylor Sexton,Majority.,Pop,2011-01-06,185,62
Stage reality.,Johnathan Garcia,Also.,Blues,2013-04-05,233,68
Study kind anyone.,Juan Houston,Tell remain.,Electronic,2015-04-28,120,50
Story.,Miguel White,Institution political.,R&B,2016-10-26,247,96
Themselves majority.,Darren Mullins,After.,Classical,2016-05-15,155,8
Edge sense night.,Cassandra Wilcox,See voice.,Pop,2005-02-02,186,10
Dark window.,Joe Jones,Do.,Hip-Hop,2020-08-03,142,60
Soon tax road.,Lori Hernandez,Across voice.,Pop,2009-07-31,285,22
Vote play receive.,Jeffrey Perez,Even.,R&B,2020-02-14,142,73
Send TV experience own.,Kimberly Choi,Whether.,Country,2015-06-19,289,71
Mrs recent from.,Christina Daugherty,Else who.,R&B,2016-10-30,239,20
Energy save.,Brooke Hill,Section.,Country,2018-09-04,215,43
East here check.,Juan Houston,Military product.,R&B,2012-10-19,299,92
Than clearly local alone.,Jeffrey Gould,Middle.,Country,2019-07-02,260,6
Election of news reach.,Mary Nash,Air dream.,Reggae,2017-10-14,171,99
Meet especially discover.,Julia Johnson,Enter leg.,Rock,2008-12-08,134,46
Understand executive activity old.,Ryan Harvey,Country.,Hip-Hop,2002-12-18,256,6
Administration prepare clearly anything.,Tamara Perez,You after.,Classical,2005-05-19,210,10
Source hold.,Vincent Owens,Weight.,Reggae,2009-01-04,272,25
Top usually alone.,Christina Snyder MD,Person center.,Jazz,2001-08-10,217,24
Entire movement charge.,Lindsay Bean,Poor she.,Pop,2012-01-23,259,77
Possible.,Adam Hammond,Environmental choose.,Pop,2019-09-20,259,63
Two source four.,Betty Harris,Guess.,Pop,2009-09-21,137,96
Since process process.,Anne Johnson,Level.,Pop,2003-10-07,185,23
Foreign painting.,Jason Fleming,Car seem.,Pop,2012-12-09,267,55
Reveal radio.,Taylor Reyes,As these.,Pop,2013-04-06,149,54
Sort parent first.,Amy Thompson,Difficult.,R&B,2011-07-04,205,12
American difficult.,Nathan Neal,Suddenly laugh.,Pop,2010-10-18,189,72
Cup article effect.,Stephen Cook,Throw.,R&B,2020-06-26,215,1
Staff somebody some.,Caleb Ross,Close town.,Classical,2012-12-14,212,82
Station room southern sense.,Colin Chase,Lawyer.,Reggae,2008-12-26,124,88
Anyone expert lot.,Helen Thomas,Left agree.,Country,2000-09-14,189,38
During involve those section.,Courtney Hunter,Rise thing.,Pop,2007-04-20,136,49
Hospital price good.,Drew Perez,Cut heavy.,Country,2019-08-02,257,90
Always learn hospital.,Morgan Miller,Most gas.,Rock,2003-01-14,240,7
Year water.,Abigail Hill,His door.,Blues,2005-12-31,261,11
Rise west.,Adam Hughes,West hold.,Blues,2006-10-06,190,64
Trial employee reflect.,Mary Hernandez,Western seat.,R&B,2003-03-27,240,83
Knowledge scene lay.,Mary Hernandez,Himself.,Rock,2004-04-03,289,21
Marriage community toward.,Ryan Smith,Especially receive.,Hip-Hop,2007-10-13,153,54
Board within culture.,Joseph Johnston,Lose lawyer.,Pop,2000-06-25,207,18
Note various ok.,Cynthia Waller,Still.,Rock,2008-01-03,154,65
Billion building institution stuff.,Jasmine Payne,Share far.,Country,2005-12-19,144,56
Three sit.,Brenda Ramos,Tend who.,Country,2011-07-12,246,82
Pass hold specific.,Aimee Cooper,Teach.,Country,2003-01-26,276,85
Natural participant.,Nicole Ryan,Daughter.,Jazz,2005-02-23,262,57
Teacher owner wonder.,Robert Valdez,Most trip.,Pop,2004-07-19,229,70
Also low fill.,Kelly Coleman,Necessary.,Classical,2013-09-28,129,10
Set everybody computer.,Elizabeth Mendez,Third.,Jazz,2011-11-17,268,11
How establish.,Ronnie Fisher,Than.,Classical,2020-09-13,164,80
Claim peace use.,Lisa Boone,Budget.,Pop,2007-02-23,183,86
Someone quickly scientist.,Nicholas Garcia,Leg lay.,Hip-Hop,2019-09-20,167,81
In particularly help.,Louis Parks,Moment chance.,Pop,2019-10-12,169,1
Very will matter.,Terri Reid,Military author.,Jazz,2006-10-14,250,80
Small woman.,Dr. Emily Kelly,Without medical.,Electronic,2008-03-23,169,49
Policy occur.,Natalie Wilson,Home.,R&B,2017-09-18,190,6
Huge everyone.,Mrs. Jennifer Hall,Him choose.,Electronic,2006-11-16,136,79
Through tax.,Jeremy Gutierrez,Civil five.,R&B,2019-10-14,177,61
Hold race too.,Randy Taylor,Must system.,Electronic,2004-11-05,289,74
Something new.,Jason Williams,Author.,Jazz,2013-07-31,174,52
Begin important.,Michael Carter,International consumer.,Hip-Hop,2006-04-17,173,48
That important.,Jerry Hansen,When pressure.,Blues,2020-08-28,247,39
Budget religious.,Cynthia Hall,Pick seem.,Country,2019-01-11,277,18
Political information month.,Jonathan Fisher,Special.,Rock,2008-09-12,288,34
Alone use.,Courtney Murray,Kitchen.,Pop,2012-05-19,212,92
Audience.,Michael Hall,Her heavy.,Blues,2015-11-08,182,51
Finish your.,Pamela Cross,Surface.,Classical,2001-05-06,259,47
Before.,Christopher Underwood,High play.,Country,2003-06-09,184,36
Various trouble.,Scott Pham,Wrong.,Country,2008-04-24,203,80
Church similar.,Mitchell Adams DVM,Simply.,Electronic,2006-06-04,184,53
Drug.,Dustin Hill,Sea feeling.,Country,2008-08-26,218,11
Remain late.,Ronald Smith,Traditional of.,Country,2005-01-02,192,68
She anything.,Juan Freeman,Ask.,Electronic,2003-02-25,198,41
Past religious keep.,Erica Briggs,Happy give.,Blues,2008-05-05,234,44
That under.,Rachel Shaw,Bed.,Classical,2001-11-30,297,31
Impact serious.,Tyler Stone,Stand concern.,Classical,2010-07-15,244,98
Hear great.,Danielle Liu,Cover wish.,Reggae,2017-07-12,297,44
Allow his authority.,Leah Martin,Region.,Electronic,2019-10-23,122,63
Professional place.,Victoria Chen,Realize.,R&B,2017-11-30,140,10
Allow rise all.,Jeffrey Willis,Summer.,Pop,2015-03-28,296,72
Account follow room success.,Ashley Park,Call.,Electronic,2009-06-16,255,55
Behavior fact everyone.,Angela Wright,Significant.,Jazz,2003-07-03,197,20
Maintain whose.,Andrea Gomez,Top.,Country,2009-01-22,228,34
Doctor alone.,Adam Foster,Edge.,Blues,2010-03-30,140,33
